Location,Nawalapitiya,,Water Source,,Mahaweli River,,Station ID,MR8
,,,,,,,,
Date,3/1/2020,3/1/2021,1/1/2023,4/1/2023,6/1/2023,7/1/2023,1/1/2024,3/1/2024
BOD,6,2,3,3,3,2,4,2
Chlorine,6,10,12,11,12,11,7,9
COD,6,2,4,12,4,13,8,15
Dissolved O2,6.2,6.5,5.7,6.7,6.7,6.6,6.4,5.5
Electrical Conductivity,0.08,0.08,0.09,0.09,0.16,0.09,0.08,0.1
Hardness,59,36,32,24,24,32,28,36
Nitrate (mg/l),0.01,,0.98,10.98,1.62,0.87,1.01,0.81
pH,7.8,7.4,8.1,8.1,7.6,7.4,6.9,6.4
Phosphate,<0.01,,0.66,0.17,1.08,2.09,0.3,0.48
Temperature (Celsius),23.2,25.1,21.1,24.9,23.2,22.3,23.3,25
Turbidity (NTU),110,86,99,96,157,191,31,33
