Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
 Paddy , Tray ," Bodhiwela-200, Rammalakandura- 800 ","1,000",80,"80,000.00",0.5,"40,000.00"
, Electric fence ," Illagolla- 8, Bodhiwela-10, Rammalakandura- 10 ",28,"36,000.00","1,008,000.00",0.5,"504,000.00"
 Vegetable , Capsicum ," Illagolla- 8, Bodhiwela-6, Rammalakandura- 5 ",19," 40/perches unit - 20g. 3,000.00 ","57,000.00",1,"57,000.00"
, Cabbage ," Illagolla- 10, Bodhiwela-10, Rammalakandura- 5 ",25," 40/perches unit - 20g. 6,000.00 ","150,000.00",1,"150,000.00"
, Beans ," Illagolla- 8, Bodhiwela-10, Rammalakandura- 8 ",26," 40/perches unit - 1500g. 4,500.00 ","117,000.00",1,"117,000.00"
, Tomato ," Illagolla- 7, Bodhiwela-8, Rammalakandura- 10 ",25," 40/perches unit - 10g. 6,000.00 ","150,000.00",1,"150,000.00"
 Fruits , Banana ,"Happawara- 100, Rammalakandura- 50, Illagolla-50 ",200,120,"24,000.00",1,"24,000.00"
, Avocado ,"Happawara- 100, Illagolla-50 ",150,200,"30,000.00",1,"30,000.00"
, Mango ," Bodhiwela-100, Happawara- 70,",300,300,"90,000.00",1,"90,000.00"
,,"Rammalakandura- 50, Illagolla-80 ",,,,,
, Papaya ,"Happawara- 100, Rammalakandura- 50, Illagolla-50 ",150,100,"15,000.00",1,"15,000.00"
 Export Crops , Coffee ," Bodhiwela-300, Happawara- 200,","1,050",30,"31,500.00",1,"31,500.00"
,,"Rammalakandura- 250, Illagolla-300 ",,,,,
, Pepper ," Bodhiwela-200, Happawara- 170, Rammalakandura- 130, Illagolla-200 ",700,40,"28,000.00",1,"28,000.00"
, Areca nut  ," Bodhiwela-100, Happawara- 200,",650,40,"26,000.00",1,"26,000.00"
,,"Rammalakandura- 150, Illagolla-200 ",,,,,
, Ginger ," Bodhiwela-100, Happawara- 170,",520,18,"9,360.00",1,"9,360.00"
,,"Rammalakandura-150, Illagolla-100 ",,,,,
 Livestock , No of cow ," Happawara- 2, Illagolla-5 ",7,"250,000.00","1,750,000.00",0.5,"875,000.00"
, No of chicks ," Happawara- 60, Rammalakandura- 100, Illagolla- 20 ",180,"1,500.00","270,000.00",0.5,"135,000.00"
, No of sheds - cow ," Happawara- 2, Rammalakandura- 3, Illagolla- 3 ",8,"300,000.00","2,400,000.00",0.5,"1,200,000.00"
 Protected Agriculture , Polytunnel , Rammalakandura- 2 ,2,"700,000.00","1,400,000.00",0.5,"700,000.00"
 Value added products , Bee keeping Box with bees, Illagolla- 5 ,5,"8,000.00","40,000.00",0.75,"30,000.00"
, Black Pepper making machines  ," Happawara- 2,",8,"10,000.00","80,000.00",0.5,"40,000.00"
,,"Rammalakandura- 3,",,,,,
,,Illagolla- 3 ,,,,,
, White pepper production machines , Illagolla- 1 ,1,"55,000.00","55,000.00",0.5,"27,500.00"
, Curry powder grinding ," Illagolla- 2, Happawara-1 ",3,"120,000.00","360,000.00",0.5,"180,000.00"
 Total Cost ,,,,,"8,170,860.00",,"4,459,360.00"
