"Table 5.26: Proposed interventions MWS-008-2 of the Deltota Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
,,"Holing and planting (33 Man days)","33","Man days","2,500","82,500",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","200","Wooden boxes","250","50,000",
,,"Fertilizer (110 gr / Seedling)","20","Kg","300","6,000",
,,"Applying fertilizer
(9 Man days/ha)","9","Man Days","2,500","22,500",
,,"Vacancy Planting -Seedling cost (20%)","40","Seedlings","300","12,000","2027"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","7.0","Man days","2,500","17,500",
,,"Vacancy Planting (10% )- Seedling cost","20","Seedlings","300","6,000","2028"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","4","Man days","2,500","10,000",
,,"1st years 3 maintenance, 12Man days,
3 times/year","36","Man days","2,500","90,000","2027"
,,"2nd year
2 maintenance (
2 times /year)
10 Man days","20","Man days","2,500","50,000","2028"
,,"3rd year
2 maintenance (Once only)
8 Man days","20","Man days","2,500","50,000","2029"
,,"4th year
1 maintenance (Once only)
12 Man days","12","Man days","2,500","30,000","2030"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2030"
,," "," "," ","Sub Total","514,000",
,,"Contingency"," "," "," ","51,400",
,," "," "," ","Total","565,400",
