No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS)/Institution,Project Con.(RS),Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-002-2,009, 010, 011,012,013,014,018-2 and 020-2) ",Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,PMU
2,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/TBD
3,Water Management Training for the Development Officer of DAD ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,, DAD/ KITI 
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,NRMC+ DEA
5,Good Practices of Agrochemical Application Training for ARPA and EDOs,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/ NRMC/ University 
6,Climate Change Adaptation Training for MWMC (including Technical committee members) ,1,1,19,"62,710","2,500","60,210",DOA/University 
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,District Engineer of District Secretariat 
8,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,NWSDB/NRMC
9,Forest Fire Prevention and Control Training for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
10,Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
11,Forest Restoration training for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
12,Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
13,Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
14,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Hanguranketha DSD),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/ NRMC/ University 
15,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT) ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,CBSL Matale Regional office/CBSL HO 
Training for Communities,,,,,,,,
16,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",12,1,600,"1,183,200",-,"1,183,200",Agriculture Park DoA
17,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,12,1,600,"806,400",-,"806,400",NRMC/ DOA
18,Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers,12,1,600,"793,800",-,"793,800",DOA
19,Important of Home Garden Improvement for watershed Management (All (9 MWM in Haguranketha DSD),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
20,Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers,12,1,600,"444,000",-,"444,000","AI, AR&PA and EDO/NRMC"
21,"Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",12,1,600,"444,000",-,"444,000","AI, AR&PA and EDO"
22,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,12,1,600,"794,400",,"794,400",DOA/NRMC
23,Green Skill and Green Technology Concept for Youth and GPC members ,12,1,480,"891,600","30,000","861,600",DOA
24,Climate Change Adaptation training for GPC and selected farmers,12,1,600,"708,000",,"708,000","AI, EDO"
25,Conduct Field Day on Climatic Training Adaptation,12,1,600,"420,000",-,"420,000",AI & EDO
26,Forest Fire Prevention and Control GPC and community members,12,1,600,"974,400",-,"974,400",Forest Department
27,Responsible use of water resources for GPC/GWMC and community members,12,1,600,"974,400",-,"974,400",Forest Department
28,Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD),Training was allocated under MWS-002-2 (Hanguranketha),,,,,,
29,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs),12,1,600,"554,400",,"554,400", EDOs & SDO
30,Conduct Refresher Training on Household Money Management for GPC and Community Members ,12,1,600,"385,200",,"385,200",EDO and SDO
31,Career Guidance & Career Fair Event (Haguranketha DSD) ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Skills Development Officer & Human Resources Development Assistant of DSD
32,Gender and Social Inclusion Training ,2,1,98,"130,820","5,000","125,820",TBD
33,Community Training - livelihood and Marketing,,,,"1,110,000",,"1,110,000",
,Total Estimated budget ,,,"9,097","10,677,330","37,500","10,639,830",
