"Table 6.42: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS","Project Con   RS","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program for MWM-039 committee members.","Budget was allocated under MWS-031 (Nildandahinna)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level)","Budget was allocated under MWS-031 (Nildandahinna)","DOA/TBD",,,,,
"3","Water Management Training for the Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","NRMC+ DEA",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","DOA/ NRMC/University",,,,,
"6","Climate Change Adaptation Training for MWMC (including technical committee members)","1","1","21","64,290","2,500","61,790","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers","Budget was allocated under MWS-031 (Nildandahinna)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Training for EDO","Budget was allocated under MWS-031 (Nildandahinna)","NWSDB/NRMC",,,,,
"9","Forest Fire Prevention and Control Training for officers of Forest Department","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Nildandahinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","DOA/ NRMC/University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-031 (Nildandahinna)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","4","1","200","312,800","-","312,800","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","4","1","200","268,800","-","268,800","NRMC/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","4","1","200","264,600","-","264,600","DOA"
"19","Important of Home Garden Improvement for watershed Management (All 11 MWMs in Nildandahinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","4","1","200","148,000","-","148,000","AI, AR&PA and EDO/NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","4","1","200","148,000","-","148,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","4","1","200","264,800","-","264,800","DOA/NRMC"
"23","Green Skill and Green Technology Concept for Youth and GPC members","4","1","160","297,200","10,000","287,200","DOA"
"24","Climate Change Adaptation training for GPC and selected farmers","4","1","200","236,000","-","236,000","AI, EDO"
"25","Conduct Field Day on Climatic Training Adaptation","4","1","200","140,000","-","140,000","AI & EDO"
"26","Forest Fire Prevention and Control GPC and community members","4","1","200","324,800",,"324,800","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","4","1","200","324,800",,"324,800","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Nildandahinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","Trained Teachers",,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","4","1","200","184,800",,"184,800","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","4","1","200","128,400",,"128,400","EDO and SDO"
"31","Career Guidance & Career Fair Event (Nildandahinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Gender and Social Inclusion Training","1","1","42","59,880","2,500","57,380","TBD"
"33","Community Training - livelihood and Marketing",,,,"675,000",,"675,000",
,"Total Estimated budget",,,,"3,842,170","15,000","3,827,170",
