"Table 5.18: Some characteristic species recorded in MWS-041","","",""
"Family","Species","Endemicity","Status"
"Fabaceae","Dialium ovoideum","E","VU"
"Anacardiaceae","Mangifera zeylanica","E","LC"
"Capparaceae","Capparis moonii","N","EN"
"Achariaceae","Chlorocarpa pentaschista","EG","VU"
"Lauraceae","Cinnamomum citriodorum","E","EN"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Santalceae","Santalum album","N","NE"
"Meliaceae","Munronia pinnata","N","EN"
"Myrtaceae","Syzygium zeylanicum","N","LC"
"Pteridaceae","Actiniopteris radiata","N","VU"
