"Table 5.4: Reported landslides/Other hazards in MWS-012 belong to Hanguranketha DS Division","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","496A","Ambaliyadda1","No special issues reported",,,,
"2","496B","Arattana","1. Bank collapsing into Alawala Oya","7.178642","80.767304","Needs NBRO concern","Establishing a retaining wall (L- 25 m, W- 0.6 m, H- 4.5 m)"
,,,"2. Bank is collapsing into the irrigation canal","7.181983","80.762493","Needs NBRO concern","Establishing a retaining wall at 45 degrees slope (L- 100 m, W- 0.9 m, H- 7.5 m)"
"3","496C","Dampola","No special issues reported",,,,
"4","494","Damunumeya","Rolling boulders - Aswedduma","7.172844","80.77647","Needs NBRO concern","Removing unstable boulders and resettling families who lives in prone area are needed"
"5","494 E","Damunumeya North","Rolling boulders from upper lands during the rainy days near the Neelawathura stream","7.177888","80.773765","Needs NBRO concern","Constructing a retaining/side wall (L- 20 m, W- 0.6 m, H- 3 m)"
,,,"Soil erosion/soil sloughing from upper lands and banks collapsing - Welyawaththa","7.175978","80.773825","Needs NBRO concern","Constructing a retaining wall (driveway) (L- 24 m, W- 4\", H- 1.2 m)"
"6","495D","Delgahapitiya","Landsliding/cur-bank collapsing - Polwaththa Wewa road","7.182002","80.775462","Needs NBRO concern","Constructing a retaining wall (4.5 m x 9 m)"
"7","494D","Deliwala","No special issues reported",,,,
"8","492","Diya - Udagama","No special issues reported",,,,
"9","492B","Dodamkumbura","No special issues reported",,,,
"10","494A","Dolugala","No special issues reported",,,,
"11","495","Hanguranketha","Soil sloughing/landsliding (prone) - The road at the middle of Diyathilakapura (Near the Sarath Wijekoon's house)","7.176305","80.779594","Needs NBRO concern","Constructing two retaining walls (1; L- 30 m, W- 0.3 m, H- 2.4 m and 02; L- 20 m, W- 0.3 m, H- 2.4 m)"
"12","496","Hapuwala","Landsliding of the road with the wall near the D.G. Gunathilaka's house","7.171733","80.757288","Needs NBRO concern","Constructing a retaining (L- 20m, W- 0.6m, H- 1.8m)"
"13","493A","Kottala","No special issues reported",,,,
"14","493","Madanwala","Bank erosion of lands owned by the temple (L- 10m, H- 4.5m)","7.162474","80.780882","Needs NBRO concern","Constructing a retaining wall (L- 10 m, W- 0.6 m, H- 4.5 m)"
,,,"Landsliding into the both irrigation canal and the torrent","7.162976","80.780243","Needs NBRO concern","Constructing a retaining wall (L- 20 m, W- 0.6 m, H- 4.5 m)"
"15","495C","Pallemaluwa","No special issues reported",,,,
"16","495A","Pussalamankada","Soil erosion of paddy fields near the torrent due to bank erosion.","7.18621","80.76907","Needs NBRO concern","Constructing two retaining walls  (L- 300 m, H- 1.5 m)"
"17","494C","Rathmetiya","The erosion of the road due to water flow from the torrent during rainy days - Road near the Bogaha Kadura","7.151489","80.773946","Needs NBRO concern","Constructing a side wall (L- 6 m, W- 0.6 m, H- 3 m)"
,,,"Landsliding of the cut banks - Rathmetiya","7.150102","80.774654","Needs NBRO concern","Constructing a side wall (L- 9 m, W- 0.6 m, H- 2.4 m)"
"18","497A","Rekitipe","No special issues reported",,,,
"19","492A","Rikillagaskada","Landsliding; a part of the road also landsliding with the cut banks/soil sloughing - Rikillagaskada - Kandy main road","7.152761","80.782859","Needs NBRO concern","Resettle the families who lives in prone area in a suitable area."
"20","492C","Walalawela","No special issues reported",,,,
"21","495B","Yati Hanguranketha","No special issues reported",,,,
